정류소아이디,정류소명,경도,위도,위치정보(주변설명),데이터 기준일자
405000914,양천상동,126.64875,33.513867,시멘트로드길 앞,2022-11-01
405000945,양천하동,126.64755,33.520417,,2022-11-01
405000944,양천하동,126.647667,33.520467,조천리 방향,2022-11-01
405001929,어대오름,126.761005,33.501052,교통표지판 맞은편,2022-11-01
405001928,어대오름,126.760817,33.501065,교통표지판앞,2022-11-01
406000444,어두모루,126.438537,33.251624,연홍아로마 옆,2022-11-01
406000445,어두모루,126.438511,33.251475,갈옷나라 맞은편,2022-11-01
405001365,어리목,126.48531,33.390355,어리목주차장 맞은편,2022-11-01
405001366,어리목입구,126.485333,33.390217,어리목삼거리 부근,2022-11-01
406001678,어썸브리즈,126.27569,33.259159,,2022-11-01
406001679,어썸브리즈,126.275543,33.258995,,2022-11-01
405000428,어영마을,126.488922,33.518615,어영마을회관 좌측,2022-11-01
405000429,어영마을,126.489371,33.518941,해변풍경 횟집 맞은편,2022-11-01
405001917,어영해안도로(시티투어),126.492674,33.519619,펜션해다미앞,2022-11-01
405000924,어음1리사무소,126.330624,33.417499,어음교회 좌측,2022-11-01
405000923,어음1리사무소,126.3307,33.417217,어음1리복지회관 맞은편,2022-11-01
405001587,어음1리입구,126.326648,33.418377,어음4길 입구,2022-11-01
405001588,어음1리입구,126.326622,33.418422,어음1길 입구,2022-11-01
405001834,어음2리,126.338431,33.402472,어음 10길 3 건물 좌측,2022-11-01
405000917,어음2리,126.338404,33.40255,어음분교 앞,2022-11-01
405000916,어음2리사무소,126.336629,33.401218,어음2리사무소 앞,2022-11-01
405001290,어음2리입구,126.370481,33.380255,어음2리 마을입구,2022-11-01
406001007,어촌계입구,126.749002,33.288294,태흥3리 방향,2022-11-01
406001006,어촌계입구,126.747716,33.287795,대흥1리 방향,2022-11-01
405001138,억수동,126.686717,33.52673,대합실 앞,2022-11-01
405001137,억수동,126.686581,33.527577,함덕 방향,2022-11-01
405001281,엘리시안CC,126.371417,33.380167,엘리시안 입구,2022-11-01
406000121,여의물,126.538454,33.244884,덴앤델리조트 앞,2022-11-01
406000120,여의물,126.538218,33.245038,수모루 방향,2022-11-01
406000855,역지동,126.783568,33.346888,가시리표시석 좌측(세화리 방향),2022-11-01
406000856,역지동,126.783067,33.346867,가시리표시석 맞은편(가시리 방향),2022-11-01
405000019,연대마을,126.42325,33.491743,CJ대한통원 앞,2022-11-01
405000021,연대마을,126.428586,33.492822,연대카서비스 우측,2022-11-01
405000018,연대마을,126.422801,33.491287,두부떡집,2022-11-01
405002583,연동 동산,126.49367,33.480458,,2022-11-01
405002582,연동 동산,126.493885,33.480472,,2022-11-01
405001635,연동365의원/한국건강관리협회,126.491201,33.481758,진현빌딩 우측,2022-11-01
405001637,연동365의원/한국건강관리협회,126.492314,33.481957,연동 365의원 우측,2022-11-01
405000496,연동대림1차아파트,126.489753,33.480284,국수나무 맞은편,2022-11-01
405000497,연동대림1차아파트,126.489933,33.4807,카페베네 연동 신시가지점 우측,2022-11-01
405000617,연동입구,126.496991,33.495231, 공항.시외버스터미널 방면,2022-11-01
405000654,연동입구,126.496742,33.496179,앙산수늘음아파트 앞,2022-11-01
405000329,연동주민센터,126.496617,33.487317,우리마트 앞,2022-11-01
405000328,연동주민센터,126.496363,33.488147,KBS방송국 앞,2022-11-01
405002362,연동한일시티파크,126.488779,33.49152,,2022-11-01
405002363,연동한일시티파크,126.489349,33.49158,,2022-11-01
405000069,연미마을,126.507093,33.486857,햇살고운집 맞은편,2022-11-01
405000068,연미마을,126.507378,33.486999,어린이보호구역 표지판 앞,2022-11-01
405000081,연미마을 입구,126.5075,33.492983,대일하이텍제주지점 앞,2022-11-01
405000067,연미마을회관,126.504807,33.486655,연미마을회관 앞,2022-11-01
405000066,연미마을회관,126.504885,33.486538,쉼터 앞,2022-11-01
405001986,연미뭘왓,126.509086,33.481086,,2022-11-01
405001985,연미뭘왓,126.508045,33.481542,,2022-11-01
405000070,연미입구,126.508382,33.487623,웰빙파크빌 우측(오라초 방향),2022-11-01
405000071,연미입구,126.508462,33.487725,중앙중 방향,2022-11-01
405000270,연수마을,126.543366,33.501631,강약국 앞,2022-11-01
406000505,열린병원,126.564674,33.25387,서귀중앙초등학교병설유치원 앞,2022-11-01
406000506,열린병원,126.56525,33.254152,GS열린병원점 앞,2022-11-01
405001996,열방대학,126.701404,33.536802,,2022-11-01
405001997,열방대학,126.701534,33.536967,,2022-11-01
406000047,염돈,126.494783,33.2499,하영농수산 직판장 우측,2022-11-01
406000048,염돈동,126.49405,33.250117,염돈주유소 우측,2022-11-01
405001755,영등물,126.736131,33.555522,선유어린이집 맞은편,2022-11-01
405002310,영등물,126.736122,33.555307,,2022-11-01
406002001,영락3교차로,126.212415,33.254752,,2022-11-01
406002002,영락3교차로,126.212252,33.254672,,2022-11-01
405002112,영락교회,126.543384,33.511178,,2022-11-01
